日期,总权益,现金,股票市值,股票仓位,持仓数量,市场环境,允许开仓,风控暂停,当日信号数,当日买入数,高开跳过数,资金不足跳过数,持仓上限跳过数,持仓上限,买入分数门槛
2024-01-02,100000.0,100000.0,0.0,0.0,0,弱,True,False,10,0,0,0,0,1,78
2024-01-03,99905.816,95393.816,4512.0,0.04516253588279585,1,弱,True,False,6,1,0,0,9,1,78
2024-01-04,99889.816,95393.816,4496.0,0.045009593370359195,1,弱,True,False,3,0,0,0,6,1,78
2024-01-05,99745.816,95393.816,4352.0,0.04363090277390683,1,弱,True,False,4,0,0,0,3,1,78
2024-01-08,99673.816,95393.816,4280.0,0.04294006361710883,1,弱,True,False,0,0,0,0,4,1,78
2024-01-09,99729.816,95393.816,4336.0,0.043477469165289544,1,弱,True,False,5,0,0,0,0,1,78
2024-01-10,99627.080344,94767.080344,4860.0,0.04878191735840316,1,弱,True,False,2,1,0,0,4,1,78
2024-01-11,99607.080344,94767.080344,4840.0,0.04859092328863292,1,弱,True,False,3,0,0,0,2,1,78
2024-01-12,99627.080344,94767.080344,4860.0,0.04878191735840316,1,弱,True,False,4,0,0,0,3,1,78
2024-01-15,99647.080344,94767.080344,4880.0,0.04897283475996833,1,弱,True,False,6,0,0,0,4,1,78
2024-01-16,99627.080344,94767.080344,4860.0,0.04878191735840316,1,弱,True,False,3,0,0,0,6,1,78
2024-01-17,99627.080344,94767.080344,4860.0,0.04878191735840316,1,弱,True,False,1,0,0,0,3,1,78
2024-01-18,99507.080344,94767.080344,4740.0,0.04763480129869782,1,弱,True,False,4,0,0,0,1,1,78
2024-01-19,99447.080344,94767.080344,4680.0,0.047060205124286096,1,弱,True,False,2,0,0,0,4,1,78
2024-01-22,99127.080344,94767.080344,4360.0,0.043983944496998426,1,弱,True,False,0,0,0,0,2,1,78
2024-01-23,99091.234684,99091.234684,0.0,0.0,0,弱,True,False,2,0,0,0,0,1,78
2024-01-24,99287.16468399999,94542.16468399999,4745.0,0.047790668764707424,1,弱,True,False,2,1,0,0,1,1,78
2024-01-25,99482.16468399999,94542.16468399999,4940.0,0.04965714221932803,1,弱,True,False,4,0,0,0,2,1,78
2024-01-26,99182.16468399999,94542.16468399999,4640.0,0.04678260466267603,1,弱,True,False,3,0,0,0,4,1,78
2024-01-29,99647.16468399999,94542.16468399999,5105.0,0.05123076021469272,1,弱,True,False,8,0,0,0,3,1,78
2024-01-30,100157.16468399999,94542.16468399999,5615.0,0.05606189050694035,1,弱,True,False,1,0,0,0,8,1,78
2024-01-31,99632.16468399999,94542.16468399999,5090.0,0.051087919409798864,1,弱,True,False,2,0,0,0,1,1,78
2024-02-01,99229.168909,95143.168909,4086.0,0.04117740826537753,1,弱,True,False,0,1,0,0,1,1,78
2024-02-02,99225.168909,95143.168909,4082.0,0.04113875587093862,1,弱,True,False,2,0,0,0,0,1,78
2024-02-05,99277.168909,95143.168909,4134.0,0.04164099405160647,1,弱,True,False,3,0,0,0,2,1,78
2024-02-06,99361.168909,95143.168909,4218.0,0.04245119140922203,1,弱,True,False,9,0,0,0,3,1,78
2024-02-07,99375.168909,95143.168909,4232.0,0.04258609113787101,1,弱,True,False,11,0,0,0,9,1,78
2024-02-08,99447.168909,95143.168909,4304.0,0.04327926121193468,1,弱,True,False,7,0,0,0,11,1,78
2024-02-19,99431.168909,95143.168909,4288.0,0.043125310172350516,1,弱,True,False,1,0,0,0,7,1,78
2024-02-20,99489.168909,95143.168909,4346.0,0.04368314709689822,1,弱,True,False,1,0,0,0,1,1,78
