代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金
000510,新金路,2024-01-03,2024-01-10,5,800,5.751,5.419,4606.18,4328.14,-278.04,-0.057783387927976854,90,134.64,破位防守,99721.96
002205,国统股份,2024-01-10,2024-01-19,7,400,10.822,9.84,4333.64,3929.14,-404.5,-0.09068159976343611,78,120.27,破位防守,99317.46
603206,嘉环科技,2024-01-19,2024-01-23,2,200,19.439,16.327,3892.76,3258.82,-633.94,-0.1600674938782229,80,122.5,绝对止损,98683.53
600585,海螺水泥,2024-02-01,2024-03-04,16,200,20.511,21.068,4107.19,4206.45,99.26,0.027148438833130083,82,127.6,沉没止损,89072.42
600167,联美控股,2024-03-04,2024-03-07,3,1800,5.22,5.13,9401.76,9223.88,-177.88,-0.01737408101263883,78,112.66,破位防守,88894.54
000750,国海证券,2024-02-29,2024-03-14,10,2900,3.347,3.343,9710.37,9685.72,-24.65,-0.0010099561356327748,78,117.1,沉没止损,19331.15
000425,徐工机械,2024-03-07,2024-03-15,6,1600,5.932,5.689,9495.94,9092.21,-403.73,-0.04100582618546692,75,123.0,破位防守,28423.36
600597,光明乳业,2024-03-13,2024-03-27,10,1300,8.928,8.653,11611.17,11237.83,-373.33,-0.030820513854446147,75,123.0,沉没止损,39661.19
600737,中粮糖业,2024-03-13,2024-03-27,10,1500,7.846,7.924,11773.49,11875.24,101.75,0.010000433360609528,75,123.0,沉没止损,51536.43
001338,永顺泰,2024-03-13,2024-03-27,10,1200,9.84,9.79,11812.57,11737.58,-74.99,-0.005006280717587259,72,115.77,沉没止损,63274.01
600562,国睿科技,2024-03-13,2024-03-27,10,900,13.146,12.924,11836.62,11620.87,-215.74,-0.016897607224575208,72,112.1,沉没止损,74894.89
002791,坚朗五金,2024-03-13,2024-03-28,11,300,39.609,35.11,11887.72,10522.63,-1365.09,-0.11359572784610392,82,122.1,绝对止损,85417.51
