日期,总权益,现金,股票市值,股票仓位,持仓数量,市场环境,允许开仓,风控暂停,当日信号数,当日买入数,高开跳过数,资金不足跳过数,持仓上限跳过数,持仓上限,买入分数门槛
2024-01-02,100000.0,100000.0,0.0,0.0,0,弱,True,False,10,0,0,0,0,1,78
2024-01-03,99905.816,95393.816,4512.0,0.04516253588279585,1,弱,True,False,6,1,0,0,9,1,78
2024-01-04,99889.816,95393.816,4496.0,0.045009593370359195,1,弱,True,False,3,0,0,0,6,1,78
2024-01-05,99745.816,95393.816,4352.0,0.04363090277390683,1,弱,True,False,4,0,0,0,3,1,78
2024-01-08,99673.816,95393.816,4280.0,0.04294006361710883,1,弱,True,False,0,0,0,0,4,1,78
2024-01-09,99729.816,95393.816,4336.0,0.043477469165289544,1,弱,True,False,5,0,0,0,0,1,78
2024-01-10,99680.320344,95388.320344,4292.0,0.04305764653632903,1,弱,True,False,2,1,0,0,4,1,78
2024-01-11,99852.320344,95388.320344,4464.0,0.04470602169905645,1,弱,True,False,3,0,0,0,2,1,78
2024-01-12,99764.320344,95388.320344,4376.0,0.04386337705615593,1,弱,True,False,3,0,0,0,3,1,78
2024-01-15,99660.320344,95388.320344,4272.0,0.04286560574212717,1,弱,True,False,6,0,0,0,3,1,78
2024-01-16,99560.320344,95388.320344,4172.0,0.04190424443779349,1,弱,True,False,3,0,0,0,6,1,78
2024-01-17,99504.320344,95388.320344,4116.0,0.04136503807845154,1,弱,True,False,1,0,0,0,3,1,78
2024-01-18,99352.320344,95388.320344,3964.0,0.03989841390996149,1,弱,True,False,4,0,0,0,1,1,78
2024-01-19,99134.70428800001,95424.70428800001,3710.0,0.03742382676829234,1,弱,True,False,2,1,0,0,3,1,78
2024-01-22,98762.70428800001,95424.70428800001,3338.0000000000005,0.03379818347486844,1,弱,True,False,0,0,0,0,2,1,78
2024-01-23,98683.52756,98683.52756,0.0,0.0,0,弱,False,True,0,0,0,0,0,1,78
2024-01-24,98683.52756,98683.52756,0.0,0.0,0,弱,False,True,0,0,0,0,0,1,78
2024-01-25,98683.52756,98683.52756,0.0,0.0,0,弱,False,True,0,0,0,0,0,1,78
2024-01-26,98683.52756,98683.52756,0.0,0.0,0,弱,False,True,0,0,0,0,0,1,78
2024-01-29,98683.52756,98683.52756,0.0,0.0,0,弱,False,True,0,0,0,0,0,1,78
2024-01-30,98683.52756,98683.52756,0.0,0.0,0,弱,False,True,0,0,0,0,0,1,78
2024-01-31,98683.52756,98683.52756,0.0,0.0,0,弱,True,False,2,0,0,0,0,1,78
2024-02-01,98662.33956000001,94576.33956000001,4086.0,0.041413978405764044,1,弱,True,False,0,1,0,0,1,1,78
2024-02-02,98658.33956000001,94576.33956000001,4082.0,0.04137511353024032,1,弱,True,False,2,0,0,0,0,1,78
2024-02-05,98710.33956000001,94576.33956000001,4134.0,0.04188011122671899,1,弱,True,False,3,0,0,0,2,1,78
2024-02-06,98794.33956000001,94576.33956000001,4218.0,0.042694753755991396,1,弱,True,False,9,0,0,0,3,1,78
2024-02-07,98808.33956000001,94576.33956000001,4232.0,0.042830392847864586,1,弱,True,False,11,0,0,0,9,1,78
2024-02-08,98880.33956000001,94576.33956000001,4304.0,0.04352735861498896,1,弱,True,False,7,0,0,0,11,1,78
2024-02-19,98864.33956000001,94576.33956000001,4288.0,0.04337256506323643,1,弱,True,False,1,0,0,0,7,1,78
2024-02-20,98922.33956000001,94576.33956000001,4346.0,0.04393345344773202,1,弱,True,False,1,0,0,0,1,1,78
2024-02-21,98972.33956000001,94576.33956000001,4396.0,0.04441645028846684,1,弱,True,False,1,0,0,0,1,1,78
2024-02-22,98960.33956000001,94576.33956000001,4384.0,0.04430057555877691,1,弱,True,False,1,0,0,0,1,1,78
2024-02-23,98946.33956000001,94576.33956000001,4370.0,0.044165352851179285,1,弱,True,False,4,0,0,0,1,1,78
2024-02-26,98864.33956000001,94576.33956000001,4288.0,0.04337256506323643,1,弱,True,False,0,0,0,0,4,1,78
2024-02-27,98850.33956000001,94576.33956000001,4274.0,0.04323707959956753,1,中,True,False,30,0,0,0,0,2,60
2024-02-28,98816.33956000001,94576.33956000001,4240.0,0.04290788364433927,1,弱,True,False,1,0,0,0,30,1,78
2024-02-29,99095.96756,84865.96756,14230.0,0.14359817407690287,2,中,True,False,29,1,0,0,0,2,60
2024-03-01,99036.96756,84865.96756,14171.0,0.1430879837007804,2,中,True,False,11,0,0,0,29,2,60
2024-03-04,98645.660782,79670.660782,18975.0,0.1923551411139454,2,中,True,False,7,1,0,0,10,2,60
2024-03-05,98425.660782,79670.660782,18755.0,0.19054990183444007,2,中,True,False,17,0,0,0,7,2,60
2024-03-06,98695.660782,79670.660782,19025.0,0.19276430036800318,2,中,True,False,15,0,0,0,17,2,60
2024-03-07,98444.596034,79398.596034,19046.0,0.19346922804601732,2,中,True,False,15,1,0,0,14,2,60
2024-03-08,98681.596034,79398.596034,19283.0,0.19540624366630824,2,中,True,False,18,0,0,0,15,2,60
2024-03-11,98589.596034,79398.596034,19191.0,0.19465542787478016,2,中,True,False,21,0,0,0,18,2,60
2024-03-12,98288.596034,79398.596034,18890.0,0.1921891324347086,2,中,True,False,31,0,0,0,21,2,60
2024-03-13,97499.428034,9645.428034,87854.0,0.9010719526412355,8,强,True,False,18,6,0,0,25,8,60
2024-03-14,97438.150249,19331.150249,78107.0,0.8016059397720515,7,中,True,False,35,0,0,0,18,2,60
2024-03-15,97776.359369,28423.359368999998,69353.0,0.7093023349158198,6,强,False,True,0,0,0,0,0,8,60
2024-03-18,98966.359369,28423.359368999998,70543.0,0.712797767340088,6,强,False,True,0,0,0,0,0,8,60
2024-03-19,98742.359369,28423.359368999998,70319.0,0.7121462404723189,6,强,False,True,0,0,0,0,0,8,60
