日期,总权益,现金,股票市值,股票仓位,持仓数量,市场环境,允许开仓,风控暂停,当日信号数,当日买入数,高开跳过数,资金不足跳过数,持仓上限跳过数,持仓上限,买入分数门槛
2024-01-02,100000.0,100000.0,0.0,0.0,0,弱,True,False,1,0,0,0,0,1,82
2024-01-03,99905.816,95393.816,4512.0,0.04516253588279585,1,弱,True,False,2,1,0,0,0,1,82
2024-01-04,99889.816,95393.816,4496.0,0.045009593370359195,1,弱,True,False,0,0,0,0,2,1,82
2024-01-05,99745.816,95393.816,4352.0,0.04363090277390683,1,弱,True,False,1,0,0,0,0,1,82
2024-01-08,99673.816,95393.816,4280.0,0.04294006361710883,1,弱,True,False,0,0,0,0,1,1,82
2024-01-09,99729.816,95393.816,4336.0,0.043477469165289544,1,弱,True,False,0,0,0,0,0,1,82
2024-01-10,99697.816,95393.816,4304.0,0.04317045420533585,1,弱,True,False,0,0,0,0,0,1,82
2024-01-11,99666.100288,99666.100288,0.0,0.0,0,弱,True,False,1,0,0,0,0,1,82
2024-01-12,99672.762288,94982.762288,4690.0,0.04705397836219743,1,弱,True,False,1,1,0,0,0,1,82
2024-01-15,99861.762288,94982.762288,4879.0,0.04885753954480623,1,弱,True,False,5,0,0,0,1,1,82
2024-01-16,99840.762288,94982.762288,4858.0,0.04865748105955607,1,弱,True,False,0,0,0,0,5,1,82
2024-01-17,99938.762288,94982.762288,4956.0,0.04959036800673971,1,弱,True,False,0,0,0,0,0,1,82
2024-01-18,99854.762288,94982.762288,4872.0,0.04879086273269803,1,弱,True,False,0,0,0,0,0,1,82
2024-01-19,99721.762288,94982.762288,4739.0,0.047522224750838234,1,弱,True,False,1,0,0,0,0,1,82
2024-01-22,99336.762288,94982.762288,4354.0,0.04383070174339645,1,弱,True,False,0,0,0,0,1,1,82
2024-01-23,99308.762288,94982.762288,4326.0,0.043561110825794,1,弱,True,False,0,0,0,0,0,1,82
2024-01-24,99441.762288,94982.762288,4459.0,0.04484031555158877,1,弱,True,False,0,0,0,0,0,1,82
2024-01-25,99560.762288,94982.762288,4578.0,0.04598197015363535,1,弱,True,False,1,0,0,0,0,1,82
2024-01-26,99424.574373,94671.574373,4753.0,0.0478050826968462,1,弱,True,False,2,1,0,0,0,1,82
2024-01-29,99445.574373,94671.574373,4774.0,0.04800615844495707,1,弱,True,False,6,0,0,0,2,1,82
2024-01-30,99410.574373,94671.574373,4739.0,0.04767098500224657,1,弱,True,False,0,0,0,0,6,1,82
2024-01-31,99438.574373,94671.574373,4767.0,0.047939142632100695,1,弱,True,False,1,0,0,0,0,1,82
2024-02-01,99557.574373,94671.574373,4886.0,0.04907712979922784,1,弱,True,False,0,0,0,0,1,1,82
2024-02-02,99396.574373,94671.574373,4725.0,0.04753684953234661,1,弱,True,False,1,0,0,0,0,1,82
2024-02-05,99319.574373,94671.574373,4648.0,0.04679842850055102,1,弱,True,False,2,0,0,0,1,1,82
2024-02-06,99578.574373,94671.574373,4907.0,0.04927766872439276,1,弱,True,False,5,0,0,0,2,1,82
2024-02-07,99844.574373,94671.574373,5173.0,0.05181052683618715,1,弱,True,False,6,0,0,0,5,1,82
2024-02-08,99809.574373,94671.574373,5138.0,0.05147802735636058,1,弱,True,False,5,0,0,0,6,1,82
2024-02-19,99746.574373,94671.574373,5075.0,0.05087894027339882,1,弱,True,False,0,0,0,0,5,1,82
2024-02-20,99781.574373,94671.574373,5110.0,0.051211859825923134,1,弱,True,False,0,0,0,0,0,1,82
2024-02-21,99767.574373,94671.574373,5096.0,0.051078720035305634,1,弱,True,False,0,0,0,0,0,1,82
2024-02-22,99760.574373,94671.574373,5089.0,0.05101213612676761,1,弱,True,False,0,0,0,0,0,1,82
2024-02-23,99809.574373,94671.574373,5138.0,0.05147802735636058,1,弱,True,False,0,0,0,0,0,1,82
